Feature,Feature_Index,Original_Value,Counterfactual_Value,Updated_Failure_Probability
Feature_70,70,8267556.0,1692848.0,0.872137799262321
Feature_37,37,0.0,51578.33999999994,0.8555065507396461
Feature_160,160,15507068.0,1271890.0,0.7354537285755468
Feature_92,92,16632338.88,74264.49599999993,0.5784215448829771
Feature_8,8,569678.0,88.0,0.6283761662656959
Feature_38,38,0.0,717924.4999999984,0.5927555400463242
Feature_25,25,7050750.0,1507094.0,0.476676297385895
Feature_48,48,0.0,12742.92999999999,0.476676297385895
Feature_43,43,105168.0,13786.299999999974,0.44090541934173993
Feature_116,116,82998.0,271937.4,0.4198640235632322
Feature_140,140,266770.0,97552.49999999996,0.38557489330685596
Feature_17,17,5872.0,2104.9500000000044,0.38557489330685596
Feature_44,44,335830.0,21840.09999999999,0.3805305284064056
Feature_64,64,47526.0,3240.0,0.3753365986340144
Feature_97,97,1988758.0,17761.19999999972,0.3753365986340144
Feature_40,40,57654992.0,3983810.0,0.3753365986340144
