Feature,Mean_Absolute_SHAP
Feature_0,0.17851723722602794
Feature_70,0.14220843823466706
Feature_91,0.13651385722925483
Feature_78,0.06571226487180892
Feature_8,0.044621798020960786
Feature_40,0.04344239541667712
Feature_86,0.035158138258931555
Feature_160,0.029424264940198442
Feature_25,0.015063065343461093
Feature_162,0.014904653445476009
Feature_81,0.014324299013008664
Feature_12,0.013436475589451623
Feature_7,0.010392548520155361
Feature_32,0.010238427093238477
Feature_17,0.010177937098064206
Feature_38,0.010110247675497052
Feature_44,0.008909997538838504
Feature_21,0.008394304871520712
Feature_100,0.007655009590576802
Feature_37,0.007351637827031586
Feature_140,0.007289987846010616
Feature_41,0.0057099458941522584
Feature_34,0.004908427856454766
Feature_116,0.004714093194940498
Feature_20,0.004712556599688968
Feature_92,0.004652568786483345
Feature_82,0.004531795678797106
Feature_43,0.004294033549107307
Feature_103,0.0039638303886079685
Feature_33,0.003710163690429467
Feature_96,0.003457407998958539
Feature_10,0.0030563283786909515
Feature_68,0.002810793066177109
Feature_132,0.0027378023660048208
Feature_69,0.002734378790366301
Feature_139,0.0025201826893345557
Feature_321,0.0020784807533691775
Feature_94,0.002077996570930103
Feature_98,0.002067777470098121
Feature_39,0.002035180205454073
Feature_45,0.0019344922133274062
Feature_71,0.0018724613237493684
Feature_16,0.0016412708842823943
Feature_64,0.0015612200449937514
Feature_23,0.0015573624973205683
Feature_46,0.0015255084807591062
Feature_61,0.001488973780496965
Feature_144,0.0014855614874197006
Feature_117,0.0014710322359217187
Feature_163,0.001407130893146021
Feature_53,0.0013790396492951264
Feature_29,0.0013509232249567307
Feature_110,0.0013383400727863056
Feature_9,0.001336722677250784
Feature_115,0.0010099906357632568
Feature_104,0.000987752725222074
Feature_60,0.0009382759298820735
Feature_48,0.0008849702436259175
Feature_93,0.0008527637021488157
Feature_186,0.0008356952239221942
Feature_89,0.0008102104692578809
Feature_111,0.000780138299536852
Feature_129,0.0007671391965963168
Feature_11,0.0007207270656939771
Feature_72,0.0007176503499324919
Feature_114,0.0006982288225689315
Feature_35,0.0006705392298131962
Feature_59,0.0006673980195810002
Feature_28,0.000634482463888773
Feature_67,0.0005999616227778318
Feature_191,0.0005535949831843117
Feature_97,0.00048532730186221895
Feature_158,0.0004673541880093567
Feature_47,0.00046461670997531297
Feature_74,0.00045756724196213255
Feature_66,0.000457265916942271
Feature_52,0.0004375997606505428
Feature_54,0.00043510165344324344
Feature_42,0.0004220238498785972
Feature_155,0.0004077173955349801
Feature_152,0.00039330845181973433
Feature_112,0.0003908243398936134
Feature_36,0.000364391634546881
Feature_294,0.000358176595673903
Feature_189,0.0003494362426659318
Feature_13,0.0003346426771402802
Feature_147,0.00032239471803296267
Feature_15,0.0003139297056207699
Feature_148,0.0003102399135182383
Feature_156,0.0003100806471575847
Feature_253,0.0002978410151617775
Feature_65,0.0002830665287550308
Feature_77,0.00025923694842905587
Feature_83,0.00025760822802720247
Feature_157,0.00024499004785091713
Feature_1,0.0002389184106083792
Feature_164,0.0002255190068918419
Feature_84,0.00022326478562154482
Feature_141,0.0002206021075630291
Feature_120,0.00022021286831698614
Feature_73,0.00020149031547870468
Feature_130,0.00020140887625316953
Feature_18,0.00019472611924435912
Feature_58,0.0001810633651447255
Feature_63,0.00017954197720976539
Feature_107,0.00017510409026430545
Feature_113,0.0001749224274146799
Feature_99,0.00017274657766615963
Feature_55,0.00016894319225056357
Feature_106,0.0001627755542516012
Feature_88,0.00014712725959613505
Feature_161,0.0001426116146338213
Feature_142,0.0001384806320856017
Feature_149,0.00013453915908567422
Feature_105,0.00012320253263135131
Feature_22,0.00011914106809622629
Feature_234,0.00011477122912659685
Feature_146,0.0001129865267614225
Feature_188,0.00011057999857310493
Feature_85,0.00010947485101413986
Feature_150,0.0001077476897254525
Feature_119,0.00010045083248367732
Feature_236,9.331369875241695e-05
Feature_246,9.208994032350879e-05
Feature_261,9.19598040108184e-05
Feature_245,8.933467705453209e-05
Feature_134,7.908047428881278e-05
Feature_87,7.307620423227595e-05
Feature_30,6.881149648382297e-05
Feature_190,6.795216717421058e-05
Feature_2,6.636255796491186e-05
Feature_108,5.850717376143054e-05
Feature_62,5.410846481917161e-05
Feature_128,5.248370635699154e-05
Feature_288,5.2384549186892616e-05
Feature_143,5.187988433557789e-05
Feature_75,4.519557115643844e-05
Feature_159,4.4519368767348436e-05
Feature_154,4.4011065958338444e-05
Feature_121,4.222789508099307e-05
Feature_124,4.1935576090353675e-05
Feature_76,4.0360944928670134e-05
Feature_57,3.8703122612655664e-05
Feature_95,3.4782719049503316e-05
Feature_79,3.4588406787907946e-05
Feature_118,3.317418481750769e-05
Feature_320,3.072614524170867e-05
Feature_233,3.0492280973278673e-05
Feature_153,2.5897201563377378e-05
Feature_49,1.848028948707503e-05
Feature_305,1.6480294125093047e-05
Feature_194,1.6060220917245294e-05
Feature_317,1.5189171183752328e-05
Feature_310,1.4117539343145244e-05
Feature_123,1.2177552575766072e-05
Feature_274,1.07504515533563e-05
Feature_195,1.0364475893535529e-05
Feature_145,8.396280011540773e-06
Feature_262,7.979804479393374e-06
Feature_80,3.0252066239095993e-06
Feature_109,2.398933790163222e-06
Feature_101,1.9337253784632433e-06
Feature_237,9.355593553319431e-07
Feature_232,8.726377521078916e-07
Feature_102,8.457597285398455e-07
Feature_166,7.385936916838683e-08
Feature_297,3.91487921250122e-08
Feature_229,3.8610749363720113e-08
Feature_255,3.827683387785442e-08
Feature_14,2.750574108667894e-08
Feature_332,1.7012184274439733e-08
Feature_24,1.3398110856436837e-09
Feature_122,0.0
Feature_90,0.0
Feature_151,0.0
Feature_50,0.0
Feature_51,0.0
Feature_56,0.0
Feature_135,0.0
Feature_136,0.0
Feature_137,0.0
Feature_138,0.0
Feature_133,0.0
Feature_170,0.0
Feature_171,0.0
Feature_172,0.0
Feature_126,0.0
Feature_125,0.0
Feature_309,0.0
Feature_311,0.0
Feature_5,0.0
Feature_4,0.0
Feature_306,0.0
Feature_3,0.0
Feature_313,0.0
Feature_314,0.0
Feature_312,0.0
Feature_315,0.0
Feature_316,0.0
Feature_319,0.0
Feature_318,0.0
Feature_6,0.0
Feature_307,0.0
Feature_308,0.0
Feature_127,0.0
Feature_131,0.0
Feature_192,0.0
Feature_193,0.0
Feature_187,0.0
Feature_185,0.0
Feature_181,0.0
Feature_182,0.0
Feature_183,0.0
Feature_184,0.0
Feature_180,0.0
Feature_179,0.0
Feature_178,0.0
Feature_177,0.0
Feature_173,0.0
Feature_174,0.0
Feature_175,0.0
Feature_176,0.0
Feature_168,0.0
Feature_167,0.0
Feature_165,0.0
Feature_169,0.0
Feature_216,0.0
Feature_213,0.0
Feature_214,0.0
Feature_215,0.0
Feature_212,0.0
Feature_196,0.0
Feature_198,0.0
Feature_197,0.0
Feature_200,0.0
Feature_201,0.0
Feature_202,0.0
Feature_199,0.0
Feature_227,0.0
Feature_226,0.0
Feature_225,0.0
Feature_224,0.0
Feature_223,0.0
Feature_222,0.0
Feature_221,0.0
Feature_220,0.0
Feature_219,0.0
Feature_235,0.0
Feature_238,0.0
Feature_239,0.0
Feature_240,0.0
Feature_228,0.0
Feature_231,0.0
Feature_230,0.0
Feature_243,0.0
Feature_242,0.0
Feature_241,0.0
Feature_244,0.0
Feature_248,0.0
Feature_217,0.0
Feature_218,0.0
Feature_203,0.0
Feature_204,0.0
Feature_205,0.0
Feature_206,0.0
Feature_207,0.0
Feature_208,0.0
Feature_209,0.0
Feature_210,0.0
Feature_211,0.0
Feature_260,0.0
Feature_259,0.0
Feature_258,0.0
Feature_257,0.0
Feature_256,0.0
Feature_254,0.0
Feature_252,0.0
Feature_251,0.0
Feature_247,0.0
Feature_250,0.0
Feature_249,0.0
Feature_271,0.0
Feature_268,0.0
Feature_269,0.0
Feature_265,0.0
Feature_263,0.0
Feature_276,0.0
Feature_275,0.0
Feature_273,0.0
Feature_277,0.0
Feature_281,0.0
Feature_278,0.0
Feature_279,0.0
Feature_280,0.0
Feature_284,0.0
Feature_283,0.0
Feature_282,0.0
Feature_270,0.0
Feature_272,0.0
Feature_266,0.0
Feature_267,0.0
Feature_264,0.0
Feature_19,0.0
Feature_289,0.0
Feature_286,0.0
Feature_287,0.0
Feature_285,0.0
Feature_290,0.0
Feature_31,0.0
Feature_26,0.0
Feature_292,0.0
Feature_293,0.0
Feature_295,0.0
Feature_296,0.0
