,Missing Count,Missing Percent
br_000,49264,82.11
bq_000,48722,81.2
bp_000,47740,79.57
bo_000,46333,77.22
cr_000,46329,77.22
ab_000,46329,77.22
bn_000,44009,73.35
bm_000,39549,65.92
bl_000,27277,45.46
bk_000,23034,38.39
ad_000,14861,24.77
cf_000,14861,24.77
ch_000,14861,24.77
cg_000,14861,24.77
co_000,14861,24.77
cy_000,13808,23.01
cz_000,13808,23.01
cx_000,13808,23.01
cv_000,13808,23.01
ct_000,13808,23.01
da_000,13808,23.01
db_000,13808,23.01
dc_000,13808,23.01
cu_000,13808,23.01
ec_00,10239,17.07
cm_000,9877,16.46
cl_000,9553,15.92
ed_000,9553,15.92
ak_000,4400,7.33
ca_000,4356,7.26
dg_000,4008,6.68
df_000,4008,6.68
dh_000,4008,6.68
dk_000,4007,6.68
dm_000,4009,6.68
eb_000,4007,6.68
dl_000,4008,6.68
di_000,4006,6.68
dj_000,4007,6.68
ac_000,3335,5.56
bx_000,3257,5.43
cc_000,3255,5.42
bc_000,2725,4.54
bz_000,2723,4.54
ef_000,2724,4.54
ar_000,2723,4.54
bd_000,2727,4.54
cp_000,2724,4.54
ds_000,2727,4.54
dv_000,2726,4.54
de_000,2724,4.54
dt_000,2727,4.54
du_000,2726,4.54
dy_000,2724,4.54
dp_000,2726,4.54
dq_000,2726,4.54
do_000,2724,4.54
dr_000,2726,4.54
dx_000,2723,4.54
dz_000,2723,4.54
eg_000,2723,4.54
ea_000,2723,4.54
ae_000,2500,4.17
av_000,2500,4.17
ax_000,2501,4.17
af_000,2500,4.17
dd_000,2503,4.17
be_000,2503,4.17
ce_000,2502,4.17
bf_000,2500,4.17
cb_000,726,1.21
bs_000,726,1.21
ba_006,688,1.15
ba_002,688,1.15
ba_007,688,1.15
ba_001,688,1.15
ba_000,688,1.15
ba_004,688,1.15
ba_005,688,1.15
ba_003,688,1.15
dn_000,691,1.15
cq_000,691,1.15
bv_000,691,1.15
bu_000,691,1.15
ba_008,688,1.15
ba_009,688,1.15
cn_009,687,1.14
cn_007,687,1.14
cn_008,687,1.14
cn_005,687,1.14
cn_000,687,1.14
cn_004,687,1.14
cn_003,687,1.14
cn_002,687,1.14
cn_001,687,1.14
cn_006,687,1.14
cd_000,676,1.13
ag_005,671,1.12
ag_006,671,1.12
ag_004,671,1.12
ag_008,671,1.12
ag_000,671,1.12
ag_001,671,1.12
ag_002,671,1.12
ag_003,671,1.12
cs_009,669,1.12
cs_002,669,1.12
cs_003,669,1.12
cs_004,669,1.12
cs_005,669,1.12
cs_006,669,1.12
ee_000,671,1.12
ee_001,671,1.12
ee_003,671,1.12
ee_002,671,1.12
az_002,671,1.12
az_000,671,1.12
ay_005,671,1.12
ay_008,671,1.12
ay_007,671,1.12
ay_009,671,1.12
ay_006,671,1.12
ag_007,671,1.12
ag_009,671,1.12
ay_000,671,1.12
ay_001,671,1.12
ay_004,671,1.12
ay_003,671,1.12
ay_002,671,1.12
az_004,671,1.12
az_008,671,1.12
az_009,671,1.12
az_003,671,1.12
az_001,671,1.12
az_005,671,1.12
az_006,671,1.12
az_007,671,1.12
ee_007,671,1.12
ee_006,671,1.12
ee_004,671,1.12
ee_005,671,1.12
ee_009,671,1.12
ee_008,671,1.12
cs_007,669,1.12
cs_000,669,1.12
cs_001,669,1.12
cs_008,669,1.12
bb_000,645,1.08
ah_000,645,1.08
ap_000,642,1.07
al_000,642,1.07
an_000,642,1.07
bg_000,642,1.07
bh_000,642,1.07
aj_000,629,1.05
as_000,629,1.05
au_000,629,1.05
am_0,629,1.05
ai_000,629,1.05
at_000,629,1.05
aq_000,589,0.98
ao_000,589,0.98
bi_000,589,0.98
bj_000,589,0.98
by_000,473,0.79
ck_000,338,0.56
cj_000,338,0.56
ci_000,338,0.56
bt_000,167,0.28
