Model,Fold,Precision,Recall,F1_Score,ROC_AUC,True_Negatives,False_Positives,False_Negatives,True_Positives
Logistic Regression,1,0.3709677419354839,0.92,0.5287356321839081,0.9670080508474577,11488,312,16,184
Logistic Regression,2,0.3617886178861789,0.89,0.5144508670520231,0.9665247881355931,11486,314,22,178
Logistic Regression,3,0.36416184971098264,0.945,0.5257301808066759,0.9803510593220338,11470,330,11,189
Logistic Regression,4,0.3581780538302277,0.865,0.5065885797950219,0.9374629237288136,11490,310,27,173
Logistic Regression,5,0.37575757575757573,0.93,0.5352517985611511,0.9732919491525424,11491,309,14,186
Random Forest,1,0.9025974025974026,0.695,0.7853107344632768,0.9922362288135594,11785,15,61,139
Random Forest,2,0.8867924528301887,0.705,0.7855153203342619,0.981831779661017,11782,18,59,141
Random Forest,3,0.8741258741258742,0.625,0.7288629737609329,0.9875453389830507,11782,18,75,125
Random Forest,4,0.868421052631579,0.66,0.75,0.9832938559322033,11780,20,68,132
Random Forest,5,0.8872180451127819,0.59,0.7087087087087087,0.9867417372881354,11785,15,82,118
Gradient Boosting,1,0.2471626733921816,0.98,0.3947633434038268,0.9907264830508475,11203,597,4,196
Gradient Boosting,2,0.2398989898989899,0.95,0.38306451612903225,0.9788362288135593,11198,602,10,190
Gradient Boosting,3,0.23551171393341552,0.955,0.3778437190900099,0.9823271186440679,11180,620,9,191
Gradient Boosting,4,0.24838292367399742,0.96,0.394655704008222,0.9844137711864407,11219,581,8,192
Gradient Boosting,5,0.2496732026143791,0.955,0.39585492227979274,0.9779023305084744,11226,574,9,191
