Threshold,Precision,Recall,F1_Score,ROC_AUC,True_Negatives,False_Positives,False_Negatives,True_Positives,Total_Cost,Cost_per_Observation
0.01,0.13800424628450106,0.975,0.24178549287042778,0.9855205508474576,10582,1218,5,195,14680,1.2233333333333334
0.02,0.1884765625,0.965,0.315359477124183,0.9855205508474576,10969,831,7,193,11810,0.9841666666666666
0.03,0.20797413793103448,0.965,0.3421985815602837,0.9855205508474576,11065,735,7,193,10850,0.9041666666666667
0.04,0.24552429667519182,0.96,0.3910386965376782,0.9855205508474576,11210,590,8,192,9900,0.825
0.05,0.26629680998613037,0.96,0.4169381107491857,0.9855205508474576,11271,529,8,192,9290,0.7741666666666667
0.06,0.29493087557603687,0.96,0.4512338425381904,0.9855205508474576,11341,459,8,192,8590,0.7158333333333333
0.07,0.30236220472440944,0.96,0.4598802395209581,0.9855205508474576,11357,443,8,192,8430,0.7025
0.08,0.32593856655290104,0.955,0.4860050890585242,0.9855205508474576,11405,395,9,191,8450,0.7041666666666667
0.09,0.3350877192982456,0.955,0.4961038961038961,0.9855205508474576,11421,379,9,191,8290,0.6908333333333333
0.1,0.35110294117647056,0.955,0.5134408602150538,0.9855205508474576,11447,353,9,191,8030,0.6691666666666667
0.11,0.35714285714285715,0.95,0.5191256830601093,0.9855205508474576,11458,342,10,190,8420,0.7016666666666667
0.12,0.37675350701402804,0.94,0.5379113018597997,0.9855205508474576,11489,311,12,188,9110,0.7591666666666667
0.13,0.3900414937759336,0.94,0.5513196480938416,0.9855205508474576,11506,294,12,188,8940,0.745
0.14,0.4358974358974359,0.935,0.5945945945945946,0.9855205508474576,11558,242,13,187,8920,0.7433333333333333
0.15,0.4410377358490566,0.935,0.5993589743589743,0.9855205508474576,11563,237,13,187,8870,0.7391666666666666
0.16,0.4613466334164589,0.925,0.6156405990016639,0.9855205508474576,11584,216,15,185,9660,0.805
0.17,0.46835443037974683,0.925,0.6218487394957983,0.9855205508474576,11590,210,15,185,9600,0.8
0.18,0.48812664907651715,0.925,0.6390328151986183,0.9855205508474576,11606,194,15,185,9440,0.7866666666666666
0.19,0.5,0.92,0.647887323943662,0.9855205508474576,11616,184,16,184,9840,0.82
0.2,0.5246376811594203,0.905,0.6642201834862386,0.9855205508474576,11636,164,19,181,11140,0.9283333333333333
0.21,0.5373134328358209,0.9,0.6728971962616822,0.9855205508474576,11645,155,20,180,11550,0.9625
0.22,0.5660377358490566,0.9,0.694980694980695,0.9855205508474576,11662,138,20,180,11380,0.9483333333333334
0.23,0.5737179487179487,0.895,0.69921875,0.9855205508474576,11667,133,21,179,11830,0.9858333333333333
0.24,0.5886287625418061,0.88,0.7054108216432866,0.9855205508474576,11677,123,24,176,13230,1.1025
0.25,0.6006825938566553,0.88,0.7139959432048681,0.9855205508474576,11683,117,24,176,13170,1.0975
0.26,0.6200716845878136,0.865,0.7223382045929019,0.9855205508474576,11694,106,27,173,14560,1.2133333333333334
0.27,0.6195652173913043,0.855,0.7184873949579832,0.9855205508474576,11695,105,29,171,15550,1.2958333333333334
0.28,0.6367041198501873,0.85,0.728051391862955,0.9855205508474576,11703,97,30,170,15970,1.3308333333333333
0.29,0.6398467432950191,0.835,0.7245119305856833,0.9855205508474576,11706,94,33,167,17440,1.4533333333333334
0.3,0.6472868217054264,0.835,0.7292576419213974,0.9855205508474576,11709,91,33,167,17410,1.4508333333333334
