Observation_ID,Risk_Score,Actual_Class_Audit,Risk_Category,Recommended_Action,Priority_Level,Review_Status,Risk_Rank
UCI_TEST_06259,0.98,pos,Critical,Immediate technical review / inspection,P1,Human review required,1
UCI_TEST_03582,0.979276016226202,pos,Critical,Immediate technical review / inspection,P1,Human review required,2
UCI_TEST_09397,0.9788067706143044,pos,Critical,Immediate technical review / inspection,P1,Human review required,3
UCI_TEST_13605,0.9730274926676742,pos,Critical,Immediate technical review / inspection,P1,Human review required,4
UCI_TEST_03894,0.9730067777777777,pos,Critical,Immediate technical review / inspection,P1,Human review required,5
UCI_TEST_15417,0.9720844895214312,pos,Critical,Immediate technical review / inspection,P1,Human review required,6
UCI_TEST_04406,0.9717452633745404,pos,Critical,Immediate technical review / inspection,P1,Human review required,7
UCI_TEST_13330,0.9660776022692278,pos,Critical,Immediate technical review / inspection,P1,Human review required,8
UCI_TEST_13249,0.965482391290218,pos,Critical,Immediate technical review / inspection,P1,Human review required,9
UCI_TEST_04368,0.9590564660652245,pos,Critical,Immediate technical review / inspection,P1,Human review required,10
UCI_TEST_02801,0.952796888210183,pos,Critical,Immediate technical review / inspection,P1,Human review required,11
UCI_TEST_00435,0.9513397471018954,pos,Critical,Immediate technical review / inspection,P1,Human review required,12
UCI_TEST_06982,0.9509252252069259,pos,Critical,Immediate technical review / inspection,P1,Human review required,13
UCI_TEST_01129,0.9456623198915778,pos,Critical,Immediate technical review / inspection,P1,Human review required,14
UCI_TEST_01278,0.945557929639948,pos,Critical,Immediate technical review / inspection,P1,Human review required,15
UCI_TEST_15299,0.9450186450120203,pos,Critical,Immediate technical review / inspection,P1,Human review required,16
UCI_TEST_10760,0.9448807011140518,pos,Critical,Immediate technical review / inspection,P1,Human review required,17
UCI_TEST_12135,0.939559420722405,pos,Critical,Immediate technical review / inspection,P1,Human review required,18
UCI_TEST_03423,0.9390582897979566,pos,Critical,Immediate technical review / inspection,P1,Human review required,19
UCI_TEST_13852,0.9324479259165406,pos,Critical,Immediate technical review / inspection,P1,Human review required,20
UCI_TEST_11829,0.9323929175179055,pos,Critical,Immediate technical review / inspection,P1,Human review required,21
UCI_TEST_04269,0.931442743257068,pos,Critical,Immediate technical review / inspection,P1,Human review required,22
UCI_TEST_14996,0.9253012856767159,pos,Critical,Immediate technical review / inspection,P1,Human review required,23
UCI_TEST_05634,0.9248471732069494,pos,Critical,Immediate technical review / inspection,P1,Human review required,24
UCI_TEST_12965,0.9246792721340156,pos,Critical,Immediate technical review / inspection,P1,Human review required,25
UCI_TEST_03364,0.9242738630624049,pos,Critical,Immediate technical review / inspection,P1,Human review required,26
UCI_TEST_09950,0.9186511356266642,pos,Critical,Immediate technical review / inspection,P1,Human review required,27
UCI_TEST_09532,0.9184598200466579,pos,Critical,Immediate technical review / inspection,P1,Human review required,28
UCI_TEST_02072,0.9124557521894966,pos,Critical,Immediate technical review / inspection,P1,Human review required,29
UCI_TEST_09323,0.9120713527311818,pos,Critical,Immediate technical review / inspection,P1,Human review required,30
UCI_TEST_03989,0.9119796902992461,pos,Critical,Immediate technical review / inspection,P1,Human review required,31
UCI_TEST_06131,0.911872291605805,pos,Critical,Immediate technical review / inspection,P1,Human review required,32
UCI_TEST_14426,0.9118087989048766,pos,Critical,Immediate technical review / inspection,P1,Human review required,33
UCI_TEST_06498,0.9116669958837417,pos,Critical,Immediate technical review / inspection,P1,Human review required,34
UCI_TEST_11533,0.9116330056496179,pos,Critical,Immediate technical review / inspection,P1,Human review required,35
UCI_TEST_09796,0.9114547055029372,pos,Critical,Immediate technical review / inspection,P1,Human review required,36
UCI_TEST_06228,0.9113897501646862,pos,Critical,Immediate technical review / inspection,P1,Human review required,37
UCI_TEST_06512,0.906234777777778,pos,Critical,Immediate technical review / inspection,P1,Human review required,38
UCI_TEST_02285,0.9059625704188894,pos,Critical,Immediate technical review / inspection,P1,Human review required,39
UCI_TEST_01830,0.9049521991920215,pos,Critical,Immediate technical review / inspection,P1,Human review required,40
UCI_TEST_06928,0.9049460784284,pos,Critical,Immediate technical review / inspection,P1,Human review required,41
UCI_TEST_14089,0.8930853510532908,pos,Critical,Immediate technical review / inspection,P1,Human review required,42
UCI_TEST_00729,0.8916984638880907,pos,Critical,Immediate technical review / inspection,P1,Human review required,43
UCI_TEST_11295,0.8914590653429619,pos,Critical,Immediate technical review / inspection,P1,Human review required,44
UCI_TEST_10682,0.8911947180425608,pos,Critical,Immediate technical review / inspection,P1,Human review required,45
UCI_TEST_11621,0.8905903799137633,neg,Critical,Immediate technical review / inspection,P1,Human review required,46
UCI_TEST_02937,0.8904129812499179,pos,Critical,Immediate technical review / inspection,P1,Human review required,47
UCI_TEST_12699,0.8851432732327634,pos,Critical,Immediate technical review / inspection,P1,Human review required,48
UCI_TEST_09622,0.8850277049451504,pos,Critical,Immediate technical review / inspection,P1,Human review required,49
UCI_TEST_00909,0.8846154131352986,pos,Critical,Immediate technical review / inspection,P1,Human review required,50
UCI_TEST_09582,0.8781528372178499,pos,Critical,Immediate technical review / inspection,P1,Human review required,51
UCI_TEST_14205,0.8780529424493202,pos,Critical,Immediate technical review / inspection,P1,Human review required,52
UCI_TEST_12362,0.877838783901612,pos,Critical,Immediate technical review / inspection,P1,Human review required,53
UCI_TEST_09197,0.8773617934400768,pos,Critical,Immediate technical review / inspection,P1,Human review required,54
UCI_TEST_09373,0.876255714659099,pos,Critical,Immediate technical review / inspection,P1,Human review required,55
UCI_TEST_12128,0.8757382843598066,pos,Critical,Immediate technical review / inspection,P1,Human review required,56
UCI_TEST_00891,0.8722068782244421,pos,Critical,Immediate technical review / inspection,P1,Human review required,57
UCI_TEST_12471,0.8712058628514466,pos,Critical,Immediate technical review / inspection,P1,Human review required,58
UCI_TEST_00834,0.8704621674235542,pos,Critical,Immediate technical review / inspection,P1,Human review required,59
UCI_TEST_06160,0.8646230404253988,pos,Critical,Immediate technical review / inspection,P1,Human review required,60
UCI_TEST_11740,0.8634274528573959,pos,Critical,Immediate technical review / inspection,P1,Human review required,61
UCI_TEST_11539,0.8582521527918568,pos,Critical,Immediate technical review / inspection,P1,Human review required,62
UCI_TEST_05071,0.8582110417155043,pos,Critical,Immediate technical review / inspection,P1,Human review required,63
UCI_TEST_13898,0.8513406563208743,pos,Critical,Immediate technical review / inspection,P1,Human review required,64
UCI_TEST_03996,0.849871501261953,pos,Critical,Immediate technical review / inspection,P1,Human review required,65
UCI_TEST_09649,0.845165762489165,pos,Critical,Immediate technical review / inspection,P1,Human review required,66
UCI_TEST_01567,0.8447987240364819,pos,Critical,Immediate technical review / inspection,P1,Human review required,67
UCI_TEST_03295,0.8447582498751572,pos,Critical,Immediate technical review / inspection,P1,Human review required,68
UCI_TEST_13643,0.8442237684706146,pos,Critical,Immediate technical review / inspection,P1,Human review required,69
UCI_TEST_14884,0.8433748166558696,pos,Critical,Immediate technical review / inspection,P1,Human review required,70
UCI_TEST_07224,0.8425174260668361,pos,Critical,Immediate technical review / inspection,P1,Human review required,71
UCI_TEST_13470,0.8423123898081684,pos,Critical,Immediate technical review / inspection,P1,Human review required,72
UCI_TEST_03337,0.8377148729921277,pos,Critical,Immediate technical review / inspection,P1,Human review required,73
UCI_TEST_01797,0.8376504318740596,pos,Critical,Immediate technical review / inspection,P1,Human review required,74
UCI_TEST_08707,0.8367406722969234,pos,Critical,Immediate technical review / inspection,P1,Human review required,75
UCI_TEST_03011,0.8306263912682823,pos,Critical,Immediate technical review / inspection,P1,Human review required,76
UCI_TEST_09276,0.8247569359752464,pos,Critical,Immediate technical review / inspection,P1,Human review required,77
UCI_TEST_15800,0.8239050869396498,pos,Critical,Immediate technical review / inspection,P1,Human review required,78
UCI_TEST_04892,0.8225999718966623,pos,Critical,Immediate technical review / inspection,P1,Human review required,79
UCI_TEST_01852,0.8189285254729776,pos,Critical,Immediate technical review / inspection,P1,Human review required,80
UCI_TEST_01489,0.8182236914051727,pos,Critical,Immediate technical review / inspection,P1,Human review required,81
UCI_TEST_00613,0.8179914177866948,pos,Critical,Immediate technical review / inspection,P1,Human review required,82
UCI_TEST_01882,0.8177349677319452,pos,Critical,Immediate technical review / inspection,P1,Human review required,83
UCI_TEST_06320,0.8173630093934606,pos,Critical,Immediate technical review / inspection,P1,Human review required,84
UCI_TEST_07517,0.8169215153183702,pos,Critical,Immediate technical review / inspection,P1,Human review required,85
UCI_TEST_07988,0.8125038033543827,pos,Critical,Immediate technical review / inspection,P1,Human review required,86
UCI_TEST_12991,0.811811212298048,pos,Critical,Immediate technical review / inspection,P1,Human review required,87
UCI_TEST_00951,0.8114381113687263,pos,Critical,Immediate technical review / inspection,P1,Human review required,88
UCI_TEST_09130,0.8102944994776581,pos,Critical,Immediate technical review / inspection,P1,Human review required,89
UCI_TEST_05852,0.8102923454952176,pos,Critical,Immediate technical review / inspection,P1,Human review required,90
UCI_TEST_00854,0.8100892367601358,pos,Critical,Immediate technical review / inspection,P1,Human review required,91
UCI_TEST_07209,0.8094269519944503,pos,Critical,Immediate technical review / inspection,P1,Human review required,92
UCI_TEST_04010,0.8092882416657342,pos,Critical,Immediate technical review / inspection,P1,Human review required,93
UCI_TEST_13569,0.8051107813696388,pos,Critical,Immediate technical review / inspection,P1,Human review required,94
UCI_TEST_06824,0.8046837337866602,pos,Critical,Immediate technical review / inspection,P1,Human review required,95
UCI_TEST_05887,0.802219218149307,pos,Critical,Immediate technical review / inspection,P1,Human review required,96
UCI_TEST_07253,0.802219218149307,pos,Critical,Immediate technical review / inspection,P1,Human review required,97
UCI_TEST_07381,0.8021013122887649,pos,Critical,Immediate technical review / inspection,P1,Human review required,98
UCI_TEST_03294,0.7996187173886284,pos,Critical,Immediate technical review / inspection,P1,Human review required,99
UCI_TEST_03228,0.7990280495494241,pos,Critical,Immediate technical review / inspection,P1,Human review required,100
UCI_TEST_09855,0.7986591015263415,pos,Critical,Immediate technical review / inspection,P1,Human review required,101
UCI_TEST_04783,0.797755162454396,pos,Critical,Immediate technical review / inspection,P1,Human review required,102
UCI_TEST_07656,0.7957549405237627,pos,Critical,Immediate technical review / inspection,P1,Human review required,103
UCI_TEST_09941,0.7919337684285143,pos,Critical,Immediate technical review / inspection,P1,Human review required,104
UCI_TEST_03650,0.7913275848856742,pos,Critical,Immediate technical review / inspection,P1,Human review required,105
UCI_TEST_05978,0.7898890474600654,pos,Critical,Immediate technical review / inspection,P1,Human review required,106
UCI_TEST_02779,0.7893543818546966,pos,Critical,Immediate technical review / inspection,P1,Human review required,107
UCI_TEST_03845,0.7893443982200218,pos,Critical,Immediate technical review / inspection,P1,Human review required,108
UCI_TEST_13479,0.7857761399622751,pos,Critical,Immediate technical review / inspection,P1,Human review required,109
UCI_TEST_14907,0.7848021652310148,pos,Critical,Immediate technical review / inspection,P1,Human review required,110
UCI_TEST_01228,0.7846740785218679,pos,Critical,Immediate technical review / inspection,P1,Human review required,111
UCI_TEST_06843,0.7845115019773549,pos,Critical,Immediate technical review / inspection,P1,Human review required,112
UCI_TEST_11022,0.7841403772701884,pos,Critical,Immediate technical review / inspection,P1,Human review required,113
UCI_TEST_00971,0.7826441953202504,neg,Critical,Immediate technical review / inspection,P1,Human review required,114
UCI_TEST_09419,0.7790627527527343,pos,Critical,Immediate technical review / inspection,P1,Human review required,115
UCI_TEST_03763,0.778675676598699,pos,Critical,Immediate technical review / inspection,P1,Human review required,116
UCI_TEST_05070,0.7783688749700532,pos,Critical,Immediate technical review / inspection,P1,Human review required,117
UCI_TEST_05213,0.778339003478902,pos,Critical,Immediate technical review / inspection,P1,Human review required,118
UCI_TEST_02531,0.7773754661867972,pos,Critical,Immediate technical review / inspection,P1,Human review required,119
UCI_TEST_10839,0.7770423901208762,pos,Critical,Immediate technical review / inspection,P1,Human review required,120
UCI_TEST_13442,0.7769935857402489,pos,Critical,Immediate technical review / inspection,P1,Human review required,121
UCI_TEST_03743,0.7760369416100973,pos,Critical,Immediate technical review / inspection,P1,Human review required,122
UCI_TEST_15712,0.7759806951392824,pos,Critical,Immediate technical review / inspection,P1,Human review required,123
UCI_TEST_01162,0.7725557441121736,pos,Critical,Immediate technical review / inspection,P1,Human review required,124
UCI_TEST_07278,0.7714753480621397,pos,Critical,Immediate technical review / inspection,P1,Human review required,125
UCI_TEST_04695,0.7709845050953398,pos,Critical,Immediate technical review / inspection,P1,Human review required,126
UCI_TEST_13665,0.7708182032593641,pos,Critical,Immediate technical review / inspection,P1,Human review required,127
UCI_TEST_15012,0.7702629609835777,pos,Critical,Immediate technical review / inspection,P1,Human review required,128
UCI_TEST_10648,0.770144079836571,pos,Critical,Immediate technical review / inspection,P1,Human review required,129
UCI_TEST_05688,0.769885677197125,pos,Critical,Immediate technical review / inspection,P1,Human review required,130
UCI_TEST_04718,0.7697439054303792,neg,Critical,Immediate technical review / inspection,P1,Human review required,131
UCI_TEST_10562,0.7655731052219769,pos,Critical,Immediate technical review / inspection,P1,Human review required,132
UCI_TEST_09566,0.7647474519187987,pos,Critical,Immediate technical review / inspection,P1,Human review required,133
UCI_TEST_07139,0.7638938464805858,pos,Critical,Immediate technical review / inspection,P1,Human review required,134
UCI_TEST_03535,0.763622098508142,pos,Critical,Immediate technical review / inspection,P1,Human review required,135
UCI_TEST_05102,0.7611895270317028,pos,Critical,Immediate technical review / inspection,P1,Human review required,136
UCI_TEST_00835,0.7582190774510642,pos,Critical,Immediate technical review / inspection,P1,Human review required,137
UCI_TEST_02532,0.7581488684453116,pos,Critical,Immediate technical review / inspection,P1,Human review required,138
UCI_TEST_12732,0.7563907930265529,pos,Critical,Immediate technical review / inspection,P1,Human review required,139
UCI_TEST_07514,0.7514455897192174,pos,Critical,Immediate technical review / inspection,P1,Human review required,140
UCI_TEST_03847,0.7451622987627954,pos,Critical,Immediate technical review / inspection,P1,Human review required,141
UCI_TEST_08309,0.745063148365405,pos,Critical,Immediate technical review / inspection,P1,Human review required,142
UCI_TEST_07446,0.7441134796762281,pos,Critical,Immediate technical review / inspection,P1,Human review required,143
UCI_TEST_13144,0.7438865477723572,pos,Critical,Immediate technical review / inspection,P1,Human review required,144
UCI_TEST_05642,0.7430582407901066,pos,Critical,Immediate technical review / inspection,P1,Human review required,145
UCI_TEST_11784,0.7377495385013151,pos,Critical,Immediate technical review / inspection,P1,Human review required,146
UCI_TEST_00799,0.7317142317672383,pos,Critical,Immediate technical review / inspection,P1,Human review required,147
UCI_TEST_09731,0.7313916778327051,pos,Critical,Immediate technical review / inspection,P1,Human review required,148
UCI_TEST_10782,0.7303676029706668,pos,Critical,Immediate technical review / inspection,P1,Human review required,149
UCI_TEST_15421,0.7254408882604317,pos,Critical,Immediate technical review / inspection,P1,Human review required,150
UCI_TEST_11520,0.7247574822184532,pos,Critical,Immediate technical review / inspection,P1,Human review required,151
UCI_TEST_07499,0.7176651370049106,pos,Critical,Immediate technical review / inspection,P1,Human review required,152
UCI_TEST_15196,0.7173919624823071,pos,Critical,Immediate technical review / inspection,P1,Human review required,153
UCI_TEST_04057,0.7171909703358088,pos,Critical,Immediate technical review / inspection,P1,Human review required,154
UCI_TEST_15784,0.7154227445679409,pos,Critical,Immediate technical review / inspection,P1,Human review required,155
UCI_TEST_11381,0.7106973948556199,pos,Critical,Immediate technical review / inspection,P1,Human review required,156
UCI_TEST_02775,0.7049278414636164,pos,Critical,Immediate technical review / inspection,P1,Human review required,157
UCI_TEST_04221,0.7042109217657593,pos,Critical,Immediate technical review / inspection,P1,Human review required,158
UCI_TEST_05492,0.703524346374788,pos,Critical,Immediate technical review / inspection,P1,Human review required,159
UCI_TEST_10156,0.7024075104958524,neg,Critical,Immediate technical review / inspection,P1,Human review required,160
UCI_TEST_13271,0.698714954599522,pos,Critical,Immediate technical review / inspection,P1,Human review required,161
UCI_TEST_10938,0.6977486559114885,pos,Critical,Immediate technical review / inspection,P1,Human review required,162
UCI_TEST_10122,0.6955677212892188,pos,Critical,Immediate technical review / inspection,P1,Human review required,163
UCI_TEST_10335,0.6915316076401755,pos,Critical,Immediate technical review / inspection,P1,Human review required,164
UCI_TEST_07132,0.6914768085242733,pos,Critical,Immediate technical review / inspection,P1,Human review required,165
UCI_TEST_10317,0.6912243502304874,pos,Critical,Immediate technical review / inspection,P1,Human review required,166
UCI_TEST_05287,0.6911543707095935,pos,Critical,Immediate technical review / inspection,P1,Human review required,167
UCI_TEST_13630,0.6910861947066873,pos,Critical,Immediate technical review / inspection,P1,Human review required,168
UCI_TEST_14176,0.6907108394527028,pos,Critical,Immediate technical review / inspection,P1,Human review required,169
UCI_TEST_03548,0.6906186339674271,pos,Critical,Immediate technical review / inspection,P1,Human review required,170
UCI_TEST_06951,0.6901018630836849,pos,Critical,Immediate technical review / inspection,P1,Human review required,171
UCI_TEST_14310,0.6883912571896943,pos,Critical,Immediate technical review / inspection,P1,Human review required,172
UCI_TEST_00466,0.6838595427602695,pos,Critical,Immediate technical review / inspection,P1,Human review required,173
UCI_TEST_05585,0.6838595427602695,pos,Critical,Immediate technical review / inspection,P1,Human review required,174
UCI_TEST_03686,0.6780169527605716,pos,Critical,Immediate technical review / inspection,P1,Human review required,175
UCI_TEST_10551,0.670390331709722,pos,Critical,Immediate technical review / inspection,P1,Human review required,176
UCI_TEST_07027,0.6702077526869321,pos,Critical,Immediate technical review / inspection,P1,Human review required,177
UCI_TEST_14032,0.6701998523249205,pos,Critical,Immediate technical review / inspection,P1,Human review required,178
UCI_TEST_09431,0.6639764323877662,pos,Critical,Immediate technical review / inspection,P1,Human review required,179
UCI_TEST_12832,0.6624673333476038,pos,Critical,Immediate technical review / inspection,P1,Human review required,180
UCI_TEST_06905,0.6584059938589436,pos,Critical,Immediate technical review / inspection,P1,Human review required,181
UCI_TEST_02529,0.6580725744294572,pos,Critical,Immediate technical review / inspection,P1,Human review required,182
